word,annotation
荆,"”）
古代用荆条做的刑仗
中国古代“九州”之一，春秋时楚国别称
旧时对人谦称自己的妻子"
克,"能够
战胜，攻下
制伏
严格限定
消化
公制重量单位或质量单位"
赏,"指地位高的人或长辈给地位低的人或晚辈财物
因爱好某种东西而观看
认识到人的才能或作品的价值而给予重视
敬辞"
友,"彼此有交情的人
有亲近和睦关系的
相好，互相亲爱"
博,"多，广，大
知道得多
用自己的行动获得
古代的一种棋戏；后泛指赌财物"
恭,◎ 肃敬，谦逊有礼貌
尤,"特异的，突出的
更加，格外
过失
怨恨，归咎"
严,"紧密，没有空隙
不放松，认真
郑重，庄重
厉害的
重大"
轻,"）”相对
程度浅，数量少
用力小
负载少，装备简省
认为容易，不以为重要
随便，不庄重"
宝,"玉器，泛指珍贵的东西
帝王的印信，借指帝位
指金属货币
赌具的一种"
屯,"聚集，储存
驻军防守
村庄
◎ 困难"
动,"”相对
使开始发生
使用
使起作用或变化，使感情起变化
吃（多用于否定式）
非静止的
可变的
行为
常常"
工,"个人不占有生产资料，依靠工资收入为生的劳动者
制造生产资料和生活资料的生产事业
从事体力或脑力劳动
工作量
技术和技术修养
细致，精巧
）〕中国古代一种记谱符号体系，有十个字
善于，长于"
谷,"两山间的夹道或流水道，或指两山之间
喻困境
庄稼和粮食的总称
粟的别称，亦指稻的子实"
次,"第二
质量、品质较差的
等第，顺序
化学上指酸根或化合物中少含两个氧原子的
中间
量词，回
旅行所居止之处所"
特,"不平常的，超出一般的
单，单一
只，但
三岁的兽，一说四岁的兽
配偶，匹配"
蒙,"欺骗
昏迷，眼发黑
胡乱猜测
没有知识，愚昧
遮盖起来
受
形容雨点细小"
市,"做买卖或做买卖的地方
买
人口密集的行政中心或工商业、文化发达的地方
一种行政区划，有中央直辖和省（自治区）辖等
中国人民习惯使用的度量衡单位"
收,"接到，接受
藏或放置妥当
割断成熟的农作物
招回
聚，合拢
结束
逮捕，拘押
约束，控制（感情或行动）"
势,"权力，威力
表现出来的情况，样子"
试,"按照预定的想法非正式地做
考，测验"
佐,"辅助，帮助
处于辅助地位的人
劝"
廉,"堂屋的侧边
不贪污
）宜，价钱低
察考，访查"
禁,"受得住，耐久
忍耐，制止
不许，制止
法律或习惯上制止的事
拘押
古代称帝王的地方
不能随便通行的地方
避忌"
献,"恭敬庄严地送给
表现出来
古代指贤者，特指熟悉掌故的人"
贫,"”相对
缺乏，不足
絮烦可厌
僧道谦称"
禄,"古代官吏的俸给
福"
据,"凭依、倚仗
占有
可以用做证明的事物
按照"
机,"事物发生的枢纽
对事情成败有重要关系的中心环节，有保密性质的事件
合宜的时候
由许多零作组成可以做功或有特殊作用的装置和设备
有生命的生物体器官的作用
灵活，能迅速适应事物变化的
指“飞机”"
青,"深绿色或浅蓝色
绿色的东西
靛蓝色
黑色
喻年轻
竹简"
化,"性质或形态改变
佛教、道教徒募集财物
用在名词或形容词后，表示转变成某种性质或状态
习俗，风气
特指“化学”"
略,"大致，简单，不详细
省去，简化
简要的叙述
计谋
抢，掠夺"
劳,"人类创造物质或精神财富的活动
辛苦，辛勤
劳动者的简称
用力
用言语或实物慰问"
孔,"小洞，窟窿
很
量词，用于窑洞"
统,"总括，总起来
事物的连续关系"
己,代词，自己，对别人称本身
苦,"”相对
感觉难受的
为某种事所苦
有耐心地，尽力地
使受苦"
患,"忧虑
灾祸
害病"
期,"规定的时间，或一段时间
量词，用于刊物或其他分期的事物
盼望，希望
限度
必，决定
◎ 一周年，一整月"
昭,"光明
明显，显著"
记,"把印象保持在脑子里
把事物写下来
记载事物的书册或文字
）
古时的一种公文
皮肤上的生下来就有的深色斑
量词，指打一下"
读,"依照文字念
看书，阅览
求学
字的念法
旧指文章里一句中间念起来要稍稍停顿的地方"
别,"分离
差别
分类
另外的
卡住，插住，绷住
不要，不准"
富,"财产、财物多
充裕，充足"
的,"〔外〕“的士”（出租车）的简称
真实，实在
箭靶的中心
用在词或词组后表明形容词性
代替所指的人或物
表示所属的关系的词
”相应"
草,"对高等植物中除了树木、庄稼、蔬菜以外的茎干柔软的植物的统称；广义指茎干比较柔软的植物，包括庄稼和蔬菜
特指用作燃料、饲料的稻麦之类的茎叶
粗糙，不细致
汉字的一种书体
打稿子，亦指稿子；引申为初步的，非正式的
荒野，原野，引申为在野的、民间的
雌性的（用于某些家畜、家禽）"
送,"把东西从甲地运到乙地
赠给
陪伴人到某一地点
丢掉"
华,"美丽而有光彩的
精英
开花
繁盛
奢侈
指中国或汉族
敬辞，用于跟对方有关的事物
头发花白
指时光"
盛,"兴旺
炽烈
丰富，华美
热烈，规模大
广泛，程度深
深厚
把东西放进去
容纳"
爵,”五等）
集,"群鸟栖止于树上
聚合，会合
会合许多著作编成的书
大型图书中可以相对独立的一部分，或一部小说、一部电影、电视剧中相对独立的段落
定期交易的市场
中国古代图书的四部分类法
成就，成功
数学基本概念之一，指若干具有共同属性的事物的总体"
救,"给予帮助使脱离危险或解脱困难
终止"
极,"顶端，最高点，尽头
指地球的南北两端或电路、磁体的正负两端
尽，达到顶点
最高的，最终的
副词"
甫,"”）
刚刚，才
大"
废,"停止，不再使用
没有用的，失去效用的
没有用的东西
荒芜，衰败
重伤或杀死某人"
比,"较量高低、长短、远近、好坏等
能够相匹
表示比赛双方胜负的对比
表示两个数字之间的倍数、分数等关系
譬喻，摹拟
靠近，挨着
和，亲
及，等到"
精,"上好的白米
”相对
聪明，思想周密
物质中最纯粹的部分，提炼出来的东西
人表现出来的活力、生气
专一，深入
雄性动物体内的生殖物质
很、极
完美，最好
明朗，清明
神话传说中的妖怪"
蜀,"中国四川省的别称
中国朝代名"
叹,"因忧闷悲痛而呼出长气
因高兴、兴奋、激动而发出长声
吟咏"
儿,"小孩子
年轻的人（多指青年男子）
儿子，男孩子
助詞"
伐,"砍
征讨
自夸"
川,"河流
平原，平地
指四川"
判,"区别，分辨，断定
分开，截然不同
评定
司法机关对案件的裁决
古代官名"
仪,"人的外表或举动
按程序进行的礼节
礼物
供测量、绘图、实验用的器具
法制，准则"
专,"单纯、独一、集中在一件事上
独自掌握和占有"
劾,◎ 揭发罪状
旨,"意义，目的
封建时代称帝王的命令
美味"
按,"用手或手指压
止住
依照
考查，研求
（编者、作者等）在正文之外所加的说明或论断"
隆,"盛大，厚，程度深
）盛
高，高起
尊崇
〔黑咕～咚〕形容很暗看不见。如"
笑,"露出愉快的表情，发出欢喜的声音
讥嘲"
顺,"”相对
沿，循
依次往后
随，趁便
整理
服从，不违背
适合，不别扭"
奔,"◎ 急走，跑
直往，趋向
为某种目的而尽力去做"
诣,"到，特指到尊长那里去
[造诣]学业或技艺所达到的程度"
女,"”。现通称“妇女”
女儿"
策,"鞭打
激励，促进
古代称连编好的竹简
古代帝王对臣下封土、授爵或免官
古代科举考试的一种文体
杖
计谋，主意，办法"
越,"度过，超出
声音、情感扬起，昂扬
表示程度加深
消散
失坠，坠落
中国古民族名
中国周代诸侯国名。后用作浙江省东部的别称"
图,"用绘画表现出来的形象
指地图
画
计谋，计划
谋取，希望得到"
肃,"恭敬
严正，认真
躬身作揖，迎揖引进
萎缩"
妻,◎ 男子的配偶
曾,"指与自己中间隔两代的亲属
）
尝，表示从前经历过"
管,"吹奏的乐器
圆而细长中空的东西
形状像管的电子器件
负责，经理"
运,"循序移动
搬送
使用
人的遭遇，亦特指迷信的人所说的遭遇
南北距离"
康,"安宁
空，空虚
宽阔
无病
丰盛"
移,"挪动
改变，变动
旧时公文的一种，行文不相统属的官署间"
木,"树类植物的通称
木料、木制品
棺材
质朴
呆笨
感觉不灵敏，失去知觉"
穷,"缺乏财物
处境恶劣
达到极点
完了
推究到极点"
党,"为了政治目的结合起来的团体
意见相合的人或由私人利害关系结成的团体
指亲族"
纵,"放
放任；不拘束
身体猛然向前或向上
即使
”相对
起皱纹
急遽的样子"
惧,害怕
雄,"”相对
强有力的
强有力的人或国家"
虏,俘获
颖,"禾的末端，植物学上指某些禾本科植物小穗基部的苞片
东西末端的尖锐部分
才能出众"
约,"拘束，限制
共同议定的要遵守的条款
事先说定
邀请
节俭
简要，简单
大略
算术上指用公因数去除分子和分母使分数简化
◎ 用秤称"
土,"地面上的泥沙混合物
疆域
本地的，地方性的
”）
不合潮流
未熬制的鸦片
中国少数民族，主要分布于青海省"
玄,"深奥不容易理解的
虚伪，不真实，不可靠
黑色"
共,"相同，一样
彼此都具有、使用或承受
一起，一齐
总计，合计
与，和"
犯,"抵触，违反
违反法律的人，有罪的人
侵害，进攻
触发，发作
做错事情"
隐,"藏匿，不显露
伤痛
怜悯
◎ 倚，靠"
冠,"帽子
形状像帽子或在顶上的东西
把帽子戴在头上
超出众人，居第一位"
赋,"旧指田地税
念诗或作诗
给予，亦特指生成的资质"
识,"知道，认得，能辨别
所知道的道理
辨别是非的能力
记住"
器,"用具的总称
生物体结构中具有某种独立生理机能的部分
人的度量、才干
重视"
庶,"众多
平民，百姓
”相对
表示希望发生或出现某事，进行推测；但愿，或许"
驾,"把车套在牲口身上，使拉（车或农具）
古代车乘的总称，亦特指帝王的车，转指帝王
使开动，操纵
在……上面，超出
对人的敬辞"
亭,"建筑得比较简单的小房子
适中，均匀
正，当"
振,"搬动，挥动
奋起，兴起"
饮,"喝，又特指喝酒
指可喝的东西
含忍
）
给牲畜水喝"
连,"相接
带，加上
就是，既使，甚至于
联合
”的上一级"
避,"躲，设法躲开
防止"
勇,"有胆量，敢做
中国清代称战争时期临时招募的兵士"
示,"表明，把事物拿出来或指出来使别人知道
对来信的敬称"
扬,"簸动，向上播散
高举，向上
在空中飘动
称颂，传播"
昔,以前，从前
颇,偏，不正
目,"眼睛
看，视
想要达到的地点、境地或想要得到的结果
大项中再分的小项
名称
标题
”以上
孔眼
指为首的人"
感,"觉出
使在意识、情绪上起反应；因受刺激而引起的心理上的变化
对人家的好意表示谢意"
息,"呼吸时进出的气
停止，歇
繁殖，滋生
音信
儿女
利钱"
季,"兄弟排行次序最小的
末了
一年的四分之一
一段时间"
干,"触犯，冒犯，冲犯
追求，求取，旧指追求职位俸禄
关连，涉及
盾，古代抵御刀枪的兵器
古代用以记年、记月、记日、记时（亦作编排次序）的十个字（甲乙丙丁戊己庚辛壬癸）
涯岸，水边
个数
没有水分或水分少，跟“湿”相对
干的食品或其他东西
枯竭，尽净，空虚
副词，空，徒然，白白地
指没有血缘或婚姻关系，拜认的亲属
当面说气话或抱怨的话使对方难堪
〈方〉慢待；置之不理
事物的主体或重要部分
做
有才能的，善于办事的
方言，坏、糟"
迎,"接
面对着，冲着
揣度别人心意而投其所好"
术,"技艺
方法
”。黏谷子。《説文•禾部》
姓。《章丘志》
”。《爾雅•釋草》
，山薊，楊枹薊。”《集韻•術韻》
，草名。《説文》"
雨,"◎ 从云层中降落的水滴
◎ 下雨，落下"
委,"任，派，把事交给人办
抛弃，舍弃
推托，卸
曲折，弯转
积聚
末、尾
确实
无精打采，不振作"
逆,"”相对
抵触，不顺从
背叛，背叛者或背叛者的
迎接
预先"
载,"年；岁
记录；刊登；描绘
装，用交通工具装
充满
乃，于是（古文里常用来表示同时做两个动作）"
寿,"年岁，生命
活得长久
生日
祝人长寿
婉辞，指为死后作准备，或死后才用的"
苏,"指须头下垂物
昏迷中醒过来
缓解，解除
特指“江苏省”、“苏州市”
朝向"
财,◎ 金钱和物资
围,"环绕，四周拦挡起来
圈起来作拦阻或遮挡的东西
四周"
造,"制作，做
瞎编
成就
培养
相对两方面的人，法院里指诉讼的两方。即原告和被告
到，去
稻子等作物从播种到收割的次数
时代，年代"
简,"古代用来写字的竹板
书信
不复杂
选择"
孤,"幼年死去父亲或父母双亡
单独
古代帝王的自称"
录,"记载，抄写
记载言行或事物的书册
采取，任用"
赴,"往，去
投入（某种境地），参加（某种行列）"
惠,"恩，好处
给人财物或好处
敬辞，用于对方对待自己的行动"
责,"责任，分（fèn）内应做的事
要求
指摘过失
质问，诘（jié）问
旧指为了惩罚而打"
补,"把残破的东西加上材料修理完整
把缺少的东西充实起来或添上
益处"
敕,"帝王的诏书、命令
告诫"
典,"可以作为标准的书籍
标准，法则
指典礼
主持，主管
活买活卖，到期可以赎"
面,"头的前部，脸
用脸对着，向着
事物的外表
方位，部分
量词，多用于扁平的物件
会见，直接接头的
几何学上指线移动所生成的形迹，有长有宽没有厚的形
粮食磨成的粉
粉末
由面粉和水做成的条状食物
食物含纤维少而柔软"
要,"索取
希望，想
请求
重大，值得重视的
应该，必须
）
如果，倘若
表选择
求，有所倚仗而强求"
咸,"〈书〉全，都
”相对
用盐腌制的"
危,"不安全
损害
高的，陡的
使人惊奇的
端正的，正直的
指人临死"
境,"疆界，边界
地方，区域，处所
状况，地步"
施,"实行
用上，加工
给予"
谕,告诉，使人知道（一般用于上对下）
智,聪明，见识
庄,"村落，田舍
封建社会君主、贵族等所占有的成片土地
商店的一种名称
某些种类的赌博，局中人轮流为主
四通八达的道路
严肃，端重"
朱,"红色
矿物名"
充,"满、足
填满，装满
当，担任
假装"
俱,"全，都
一起；在一起"
设,"布置，安排
筹划
假使"
切,"◎ 用刀从上往下用力
密合，贴近
紧急
实在"
丁,"天干的第四位，用于作顺序第四的代称
从事某种劳动的人"
竟,"终了，完毕
到底，终于
整，从头到尾
居然，表示出乎意料"
凤,”）
院,"围墙里房屋四周的空地
某些机关、学校和公共场所名称"
英,"花
才能出众，才能出众的人
精华，事物最精粹的部分
用羽毛做的矛饰
指“英国”"
豫,"欢喜，快乐
安闲，舒适
中国河南省的别称"
向,"”相对
介词，表示动作的方向或对象
方向
近，临
偏袒，袒护
从前
副词，从开始到现在"
族,"亲属，泛指同姓之亲
指具有共同起源和共同遗传特征的人群
指在历史上形成的人群的稳定共同体，他们有共同的语言、经济生活以及表现于共同文化上的心理素质
聚居而有血统关系的人群的统称
事物有共同属性的一大类
封建时代的一种残酷刑罚，一人有罪，把全家或包括母亲、妻家的人都杀死
聚合，集中"
劝,"说服，讲明事理使人听从
勉励"
范,"模（mú）子
榜样
一定界限
限制"
释,"解说，说明
消除，消散
放开，放下
佛教创始人释迦牟尼的简称，后泛指佛教"
俗,"社会上长期形成的风尚、礼节、习惯等
大众化的，最通行的，习见的
趣味不高的，令人讨厌的
凡世间，相对于仙佛僧道"
孟,"兄弟姊妹排行最大的
农历四季中月份在开头的（其它两个月依次为仲、季）
猛然不及思考，冒冒失失
勉力"
辟,"君主
指君主招来，授予官职
开发建设
驳斥，排除
透彻
法，刑"
朕,"我，我的。中国秦始皇时起专用作皇帝自称
征兆，迹象"
体,"人、动物的全身
身体的一部分
事物的本身或全部
物质存在的状态或形状
文章或书法的样式、风格
事物的格局、规矩
亲身经验、领悟
设身处地为人着想"
筑,"捣土的杵
建造，修盖
居室"
考,"试验，测验
检查，查核
推求，研究
老，年纪大
原指父亲，后多指已死的父亲
击，敲"
奸,"阴险，虚伪，狡诈
不忠于国家或自己一方的人
男女发生不正当的性行为"
讲,"说，谈
把事情和道理说出来
注重某一方面，并设法使它实现
和解
商量，商议"
嗣,"接续，继承
子孙"
检,"查
注意约束（言行）"
适,"切合，相合
舒服
刚巧
刚才，方才
往，归向
旧称女子出嫁"
仍,"依然，还，照旧
因袭，沿袭
频繁，重复"
甲,"天干的第一位，用于作顺序第一的代称
居于首位的，超过所有其它的
古代科举考试成绩名次的分类
古代军人打仗穿的护身衣服，用皮革或金属叶片制成
现代用金属做成有保护功能的装备
某些动物身上有保护功能的硬壳
手指或脚趾上的角质硬壳
旧时户口编制单位
植物果实的外壳"
野,"郊外，村外
界限，范围
）”相对
不讲情理，没有礼貌
巨大而非分的欲望
不受约束
不是人工驯养或栽培的（动物或植物）"
假,"”相对
借用，利用
据理推断，有待验证的
◎ 照规定或经请求批准暂时离开工作或学习场所"
夺,"抢，强取
争先取到
冲开
丧失，削除
晃动
决定如何处理
漏掉（文字）"
夷,"中国古代称东部的民族
中国旧时指外国或外国的
平，平坦，平安
弄平
消灭
等辈"
呼,"喊
唤，叫
”相对
象声词"
农,"种庄稼，属于种庄稼的
种庄稼的人"
鸣,"鸟兽或昆虫叫
发出声音，使发出声音
声明，发表意见、情感
闻名，著称"
饥,"饿
庄稼收成不好或没有收成"
弱,"”相对
年纪小
”相对
差，不如
丧失（指人死）"
震,"疾雷（霹雳）使物体振动
雷
巨大的力等使物体剧烈颤动
迅速或剧烈地颤动
特指“地震”
惊恐或情绪过分激动"
拔,"抽，拉出，连根拽出
夺取军事上的据点
吸出
选取，提升
超出，高出
把东西放在凉水里使变凉
改变"
头,"人身体的最上部分或动物身体的最前的部分
指头发或所留头发的样式
物体的顶端
指事情的起点或端绪
物体的残余部分
以前，在前面的
次序在前，第一
首领
方面
临，接近
量词，多指牲畜
表示约计、不定数量的词"
杜,"）
姓"
斯,"这，这个，这里
乃，就
劈"
空,"不包含什么，没有内容
没有结果的，白白地
离开地面的，在地上面的地方
使空，腾出来
闲着，没被利用的
亏欠"
役,"服兵务，从军
战事
服劳力之事
使唤
被役使的人"
叛,◎ 违背自己所属方面的利益投到敌对方面去
灵,"有效验
聪明，不呆滞
敏捷的心理活动
精神
旧时称神或关于神仙的
反映敏捷，活动迅速
关于死人的"
翰,"长而坚硬的羽毛
借指毛笔和文字、书信等"
彼,"那，那个
他，对方"
坚,"牢固，结实，硬
不动摇，不改变
牢固、结实的东西或阵地"
但,"只，仅，只是
不过，可是
徒然"
各,"◎ 每个，彼此不同
方言，特别"
屡,接连着，不止一次
虚,"空
不真实的
内心怯懦
不自满
抽象的
衰弱"
资,"财物，钱财
经营工商业的本钱和财产
供给，帮助
智慧能力
出身和经历"
愈,"更，越
较好，胜过
病好了"
袭,"趁敌人不备时攻击
触及
照样做，照样继续下去
量词，指成套的衣服
衣上加衣，引申为重迭
合，和"
尹,"治理
官名"
籍,"书，书册
登记隶属关系的簿册；隶属关系
登记
征收"
步,"行走
踏着别人的足迹走，追随
行走时两脚的距离
事情进行的程序、阶段、程度"
休,"歇息
停止
旧指丈夫把妻子赶回母家，断绝夫妻关系
不要
吉庆，美善，福禄
”等用法相当
辞去官职"
希,"少
盼望"
答,"回话，回复
）报别人"
悦,"高兴，愉快
使愉快"
访,"向人询问，调查
探问，看望"
微,"小，细小
少；稍
衰落；低下
精深；精妙
隐约；不明
隐匿
暗中察访
无，非
与某一物理量的单位连用时，表示该量的百万分之一"
丘,"小土山
像小土山凸起的
坟墓
量词，指用田塍隔开的水田
众人聚居的地方"
显,"露在外面容易看出来
表现，露出
旧时称有权势的或有名声地位的
敬辞，称先人"
列,"排成的行
众多，各
摆出
安排到某类事务之中
量词，用于成行列的事物
类"
塞,"堵，填满空隙
堵住器物口的东西
◎ 边界上险要地方
◎ 义同（一），用于若干书面语词"
庙,"供奉祖先的房屋
供神佛或历史上有名人物的地方
王宫的前殿，泛指朝廷"
贞,"坚定，有节操
旧礼教中束缚女子的一种道德观念，指妇女不改嫁等
占，卜，问卦"
宾,"客人
服从，归顺"
郑,中国周代诸侯国名，在今河南省新郑县一带
弗,◎ 不
曲,"”相对
不公正，不合理
弯曲的地方
偏僻的地方
酿酒或制酱时引起发酵的东西
能唱的文词，一种艺术形式
歌的乐调"
画,"绘图
图像
写，签押，署名
用手、脚或器具做出某种动作
字的一笔称一画"
材,"木料，泛指一切原料或资料
能力，资质
棺木"
傅,"辅相
教导
教导人的人
附着，使附着"
豪,"具有杰出才能的人
气魄大，直爽痛快，没有拘束的
强横的，有特殊势力的"
拒,"抵挡，抵抗
不接受"
阙,"古代用作“缺”字。空缺
过错
皇宫门前两边供瞭望的楼
皇帝居处，借指朝廷
京城，宫殿
陵墓前两边的石牌坊"
积,"聚集
数学上指乘法运算的得数"
到,"从别处来
往
周全，全顾得着
成功"
燕,"鸟类的一科，候鸟，常在人家屋内或屋檐下用泥做巢居住，捕食昆虫，对农作物有益
轻慢
中国周代诸侯国名，在今河北省北部和辽宁省南部"
惊,"骡马等因为害怕而狂奔起来不受控制
害怕，精神受了突然刺激而紧张不安
震动
出人意料的"
没,"无
不曾，未
不够，不如
隐在水中
隐藏，消失
漫过，高过
财物收归公有或被私人侵吞
终，尽"
陷,"掉进，坠入，沉下
为捉野兽挖的坑
凹进
设计害人
攻破，占领
缺点"
泰,"平安，安定
佳，美好
极
骄纵，傲慢
通"
优,"美好的，出众的，与“劣”相对
充足，富裕
优待
旧时指演戏的人"
霸,"指依杖权势或武力欺压他人的人或集团
奉行强力政策，或实行强力占有
古代称诸侯的盟主"
商,"两个以上的人在一起计划、讨论
买卖，生意
”，后泛指做买卖的人，亦用以指从事私营工商业的人）
数学上指除法运算中的得数
中国朝代名"
胡,"中国古代称北边的或西域的民族
泛指外国或外族的
乱，无道理
文言疑问词，为什么，何故
嘴周围和连着鬓角长的须毛
古代指兽类颈下垂肉"
让,"）着旁人
请
许，使
任凭
被
索取一定代价，把东西给人
闪避
责备，谴责"
驰,"车马等奔跑，快跑
向往
传播，传扬
驱车马追逐"
俄,◎ 短时间
慎,小心，当心
末,"尖端，梢
最后，终了
非根本的，次要的，差一等的
碎屑
传统戏剧角色名，一般扮演中年以上男子"
茂,"草木旺盛
美，有才德"
稍,◎ 本义为禾末，引申为略微
断,"长形的东西从中间分开
不继续，禁绝
判定，决定
一定，绝对"
某,"代替不明确指出的人、地、事、物等
”或名字）"
幼,"年纪小，初出生的
小孩儿
对儿童爱护"
招,"打手势叫人来
用公开的方式使人来
应接
引来
承认自己的罪行
摇动"
泣,"小声哭
眼泪"
吉,"”相对
吉利的日子
善，贤，美
中国吉林省的简称"
弃,舍去，扔掉
冬,"一年中的第四季
”。敲鼓声"
祭,"对死者表示追悼、敬意的仪式
供奉鬼神或祖先
使用（法宝）"
矢,"箭
誓
正直
陈列
施布"
祸,"灾殃，苦难
危害，使受灾殃"
襄,"帮助，辅佐
完成，相助而成
冲上
上举，昂起
高"
葬,掩埋死人，泛指处理死者遗体
况,"情形
比方
文言连词，表示更进一层"
调,"搭配均匀，配合适当
使搭配均匀，使协调
调停使和解（调解双方关系）
调剂
调理使康复
调教；训练
挑逗；戏弄
乐曲；乐谱
乐曲定音的基调或音阶
语音上的声调
说话的腔调
口气；论调
人所蕴含或显露出来的风格、才情、气质
选调；提拨
调动
征集；征调
调查
提取、调取（文件、档案等）
调换
◎ 朝，早晨"
习,"学过后再温熟反复地学，使熟练
学
对某事熟悉
长期重复地做，逐渐养成的不自觉的活动
相因"
援,"牵引
帮助，救助
引用
执，持"
全,"完备，齐备，完整，不缺少
整个，遍
都
使不受损伤"
虑,"思考
担忧"
附,"另外加上，随带着
同意，赞同
捎带
靠近
依从"
妇,"已婚的女子
”相对
儿媳
泛指女性"
儒,"指读书人
中国春秋战国时代以孔子、孟子为代表的一个学派"
绍,"连续，继承
指中国浙江省绍兴市"
宪,"法令
指宪法"
钦,"恭敬
封建时代指皇帝亲自所做"
升,向上，高起，提高
戒,"防备
革除不良嗜好
佛教律条，泛指禁止做的事
准备"
赦,◎ 免除和减轻刑罚
灭,"火熄
完，尽，使不存在
淹没"
渡,"横过水面
由此到彼
转手，移交
过河的地方"
逾,"越过，超过
更加"
孺,◎ 小孩子，幼儿
回,"还，走向原来的地方
掉转
曲折，环绕，旋转
答复，答报
量词，指事件的次数
说书的一个段落，章回小说的一章
中国少数民族，分布于中国大部分地区"
署,"办理公务的机关
布置
签名，题字
暂代"
满,"全部充实，没有余地
到了一定的限度
骄傲，不虚心
十分，全
使满，斟酒
中国少数民族，主要分布于辽宁、黑龙江、吉林、河北等省和北京市、内蒙古自治区"
畏,"怕
敬服"
奴,"阶级社会中受压迫、剥削、役使的没有人身自由的人
像对待奴隶那样地
使人甘受奴役地"
尊,"地位或辈分高
敬重
敬辞，称与对方有关的人或事物
量词"
存,"东西在那里，人活着
保留，留下
寄放
停聚
怀有，怀着"
谒,"拜见
说明，陈述，告发
请求
名帖"
粮,"可吃的谷类、豆类等
作为农业税的粮食"
祠,供奉祖宗、鬼神或有功德的人的房屋
象,"哺乳动物，是目前地球陆地上最大的哺乳类动物，多产在印度、非洲等热带地区，门牙极长，可用于雕刻成器皿或艺术品
形状，样子"
晏,迟，晚
谦,◎ 虚心，不自满，不自高自大
诞,"大
欺诈，虚妄
生育，人出生
生日
放荡"
杰,"才能出众的人
特异的，超过一般的"
伤,"受损坏的地方
损害
因某种致病因素而得病
因过度而感到厌烦
妨碍
悲哀
得罪"
聚,会合，集合
笔,"写字、画图的工具
组成汉字的点、横、直、撇、捺等
用笔写，写作的
写字、画画、作文的技巧或特色
像笔一样直
量词，指钱款
指散文"
谁,"疑问人称代词
任何人，无论什么人"
剑,古代的一种兵器
温,"不冷不热
性情柔和
稍微加热
复习"
僚,"官
旧指同在一起做官的"
湖,"陆地上聚积的大水
指中国湖北省和湖南省
指中国湖州（旧地名，在今浙江省吴兴县）"
弼,辅佐
飞,"鸟类或虫类等用翅膀在空中往来活动
在空中运动
形容极快
极，特别地
无根据的、无缘无故的
像架在空中的形状
感情的表达与传递"
侵,"（敌人）进入境内，（外来的或有害的事物）进入内部
渐近
古代称荒年"
牛,"哺乳动物，趾端有蹄，头上长一对角，是反刍类动物，力量很大，能耕田拉车，肉和奶可食，角、皮、骨可作器物
星名，二十八宿之
喻固执或骄傲"
玉,"石头的一种，质细而坚硬，有光泽，略透明，可雕琢成工艺品
美，尊贵的，敬辞"
薄,"厚度小的
冷淡，不热情
味道淡
土地不肥沃
轻微，少
不庄重，不厚道
轻视
不充实，不坚强
迫近"
堂,"正房，高大的房子
同祖父的亲属关系
旧时官吏审案办事的地方
量词"
宿,"住，过夜，夜里睡觉
年老的，长久从事某种工作的
平素，素有的
隔夜的，隔年的
◎ 夜
◎ 星座"
贺,庆祝，祝颂
谨,"慎重，小心
郑重，恭敬"
寡,"少，缺少
淡而无味
妇女死了丈夫"
训,"教导，教诲
可以作为法则的话
典式，法则
解释词的意义"
护,"使不受侵犯和损害
救助
掩蔽，包庇"
藏,"隐避起来
收存起来
储放东西的地方
道教、佛教经典的总称
中国少数民族，主要分布于西藏自治区和青海、四川等省"
勤,"做事尽力，不偷懒
经常
上班，事务
担心，忧虑
帮助"
擒,捉拿
铁,"形容坚硬
形容确定不移
形容刚正
形容表情严肃
黑色
兵器的代称"
庐,房舍
裕,"丰富，宽绰
从容，不紧张费力"
暴,"强大而突然来的，又猛又急的
过分急躁的，容易冲击的
凶恶残酷的
横蹋，损害
鼓起来，突出
徒手搏击"
结,"）
条状物打成的疙瘩
聚，合
）
一种保证负责的字据
植物长果实"
殊,"不同
特别，很
断，绝
超过"
羌,"中国古代西部的民族
中国少数民族，主要分布于四川省
文言助词，用在句首，无义"
寒,"”相对
害怕
穷困，有时用作谦辞"
离,"相距，隔开
离开，分开
缺少"
怨,"仇恨
不满意，责备"
接,"连成一体
继续，连续
靠近，挨上
承受，收取
迎"
最,"极，无比的
聚合
合计"
须,"必得，应当
等待，停留
男人面上生的毛，胡子
像胡须的东西"
捕,◎ 捉，逮
状,"形容，样子
情况，情形
叙述，描写
旧时叙述事件的文辞
特种格式的凭证"
忘,◎ 不记得，遗漏
庭,"堂阶前的院子
厅堂
审判案件的处所或机构"
浩,◎ 水大，引申为大和多
勋,"特殊功劳
勋章"
辱,"羞耻
使受到羞耻
谦辞，表示承蒙
玷污，辜负"
赞,"帮助，辅佐
主持礼仪
夸奖，称扬
一种文体，用于颂扬人物"
宴,"以酒饭款待宾客
聚会在一起吃酒饭
酒席
），安闲"
费,"用钱财
用，消耗
需用的钱财"
静,"”相对
没有声音
安详，闲雅"
火,"燃烧，物质燃烧时所发出的光和焰
紧急
指枪炮弹药等
发怒，怒气
中医指发炎、红肿、烦躁等的病因
形容红色的"
税,国家向企业或集体、个人征收的货币或实物
唯,"”
答应的声音"
亮,"明，有光
光线
明摆出来，显露，显示
明朗，清楚
声音响
使声音响"
